id,phrase
1,Esse tema foi falado no congresso.
2,Leila tem um lindo casaco.
3,O analfabetismo é um problema chato.
4,O casarão foi vendido sem pressa.
5,Agindo com união ainda rende mais.
6,Recebi meu pai pra almoçar.
7,O trabalho é a vida do povo.
8,Isso se resolverá de maneira tranquila.
9,Os pesquisadores não acreditam nessa história.
10,Sei que amanhã atingiremos a meta proposta.
11,Nosso telefone está mudo.
12,Desculpe se te chamo de velho.
13,Queremos discutir o orçamento.
14,Ela não tem fome quando sai de casa.
15,Uma índia andava na floresta.
16,Zeca, corra bem rápido pra casa.
17,Neste caso, dormirei tranquilo.
18,João deu dinheiro pro seu pai comprar um jogo.
19,Ainda faltam seis minutos.
20,Ela seguia discretamente.
21,Eu vi logo a índia Joana e o Léo.
22,João caminhou na praia calma.
23,Vi Zé fazer essas viagens seis vezes.
24,O atabaque do Tito é coberto com pele de gato.
25,Ele dorme num leito de palha.
26,Paira um ar de arara amarela no Rio.
27,Foi muito difícil entender a canção de natal.
28,Depois do almoço te encontro pro chá.
29,Esses são nossos timezinhos.
30,Procurei Maria em casa.
31,A pesca é proibida nesse canto.
32,Quero te ver bem quando ele voltar de lá.
33,Tenho muito orgulho de nossa gente.
34,O inspetor faz a vistoria completa.
35,Ainda não se sabe o dia da prova.
36,Será muito dificil conseguir que eu coma.
37,A paixão dele é a natureza.
38,Você quer me dizer a data?
39,Desculpe, mas me atrasei no casamento.
40,Faz um desvio em direção ao mar.
41,O velho tigre ainda aceita combate.
42,É hora do homem se humanizar mais.
43,Ela ficou na fazenda por uma hora.
44,Seu crime foi encoberto pelo capataz.
45,A escuridão do quarto assustou a criança.
46,Hoje, eu não pude fazer minha ginástica.
47,Comer quindim é sempre uma boa pedida.
48,Hoje irei precisar de você.
49,Sem ele o tempo flui num ritmo suave.
50,A sujeira lançada no rio contamina os peixes.
51,O jogo será transmitido à tarde.
52,É possível que ele já esteja fora de perigo.
53,A explicação pode ser encontrada na tese.
54,Meu vôo tinha sido marcado para as cinco horas
55,Daqui a pouco a gente vai ao baile.
56,Estou certo que mereço a atenção dela.
57,Era um belo enfeite todo de palha.
58,O comércio daqui é bem tranquilo.
59,É a minha chance de esclarecer a notícia.
60,A visita transformou-se numa reunião.
61,O cenário da história é um subúrbio da cidade.
62,Eu tenho uma ótima razão pra festejar.
63,A pequena nave medirá o campo magnético.
64,O prêmio será entregue na sessão solene.
65,A ação se passa numa cidade calma.
66,Ela e seu namorado chato saem do carro.
67,O adiantamento surpreendeu a mim e a todos.
68,A gente sempre colhe o que plantou.
69,Aqui é onde existe a flor mais interessante.
70,A corrida de inverno foi uma alegria.
71,Esse empreendimento terá grande sucesso.
72,A feira livre não funcionará amanhã.
73,Fumar é prejudicial à saúde e é feio.
74,Entre com seu velho código e o número da conta
75,Reflita antes e discuta depois.
76,A aula dele é bastante charmosa.
77,Usar mais aditivo pode ser desastroso.
78,O clima não é mau em Calcutá.
79,A locomotiva vem com mais carga.
80,Ainda é uma boa temporada pro cinema.
81,Os maiores picos da Terra ficam debaixo da água.
82,A inauguração da vila é quarta ou quinta-feira.
83,Vote se você tiver o título de eleitor.
84,Hoje é fundamental encontrar a razão da existência humana.
85,A temperatura é mais amena à noite.
86,Em muitas cidades a população está diminuindo.
87,Nunca se deve ficar em cima do morro.
88,Para as pessoas estranhas o panorama é desolador.
89,É bom te ver colhendo flores, menino!
90,Eu finjo me banhar num lago ao amanhecer.
91,É de fundamental importância encontrar uma solução comum
92,A previsão é de muito nevoeiro no Rio.
93,Os móveis virão as cinco da tarde.
94,O barraco pode desabar em algumas horas.
95,O candidato falou como se já estivesse eleito.
96,A idéia é falha, mas interessante.
97,O dia está bom pra passear de navio.
98,Minha correspondência me espera em casa.
99,A saída pra crise dele é o diálogo.
100,Finalmente São Pedro chamou o mau tempo.
101,Um casal de gatos come no telhado.
102,A cantora foi apresentar um grande sucesso.
103,Lá é um lugar ótimo pra tomar uns chopinhos.
104,O musical consumiu quatro meses da vida da gente
105,O baile começa após às nove horas.
106,Apesar desse resultado tomarei uma decisão.
107,A verdade não poupa nem as celebridades.
108,O frio deve diminuir ainda este ano.
109,O vão da plataforma é estreito.
110,Infelizmente não fui a ginástica.
111,Os meninos prenderam um filhote de tigre.
112,A bolsa de valores está em alta.
113,O congresso volta atrás em sua palavra.
114,A médica receitou que eles mudassem de clima.
115,Não é permitido fumar no interior do ônibus.
116,A garota foi presa naquela noite.
117,O prato do dia é couve no tempero.
118,Eu viajarei a Belém amanhã.
119,A balsa é o meio de transporte daqui.
120,A apresentação foi cancelada por causa da chuva.
121,O grêmio ganhou uma quadra de esportes.
122,Hoje irei à vila sem meu filho.
123,Essa chuva não ocorre mais todo ano.
124,Será bom que ele estude o assunto.
125,O menu inclui um prato muito saboroso.
126,Podia dizer as horas por gentileza?
127,A casa é enfeitada com rosas.
128,A Terra é farta mas não infinita.
129,O sinal emitido é captado pelos receptores.
130,A mensalidade aumentou mais que a inflação.
131,O tele-jornal começa às dez da noite.
132,A cabine do telefone fica na próxima rua.
133,Defender a ecologia é manter a vida.
134,Nesse verão o calor é insuportável.
135,O jardim exige muito trabalho.
136,O pão que eu comprei era ótimo.
137,Meu pai se entenderá com o padre chato amanhã
138,Durante o dia apague a luz.
139,A sociedade uruguaia tem que se mobilizar.
140,Nossas atitudes são calmas.
141,Dezenas de cabos eleitorais buscavam apoio.
142,Nunca uma vitória foi paga com tanto suor.
143,Nosso filho ama os animais.
144,Esse peixe é mais letal que algumas cobras.
145,O time continua lutando pelo sucesso.
146,Essa medida foi devidamente alterada.
147,O estilete é uma arma perigosa.
148,Me aguarde, quinta-feira eu venho jantar em casa.
149,A mudança é lenta porém duradoura.
150,O clima não é mais seco no interior.
151,Sua sensibilidade mostrará o caminho.
152,A Amazônia é a reserva ecológica do globo.
153,O ministério mudou demais com a eleição.
154,Novas metas surgem na informática.
155,O capital de uma empresa depende de produção.
156,Se não fosse ela, tudo teria sido melhor.
157,A principal personagem no filme é uma gueixa.
158,Espere seu amigo em casa.
159,A juventude tinha que revolucionar a escola.
160,A cantora terá quatro meses pra ensaiar seu canto
161,Prazer em conhecê-los.
162,Elas traziam o equipamento.
163,O sol ilumina o planeta.
164,A correção do exame foi coerente.
165,O vidro é antigo mas o armário, não.
166,O natal deve ser um dia alegre.
167,Trabalhei mais do que podia.
168,Hoje eu acordei calmo.
169,Esse canal parece bastante chato.
170,Nem parece que nós nascemos aqui.
171,Receba minha prima na festa.
172,Ela planejou um grande banquete cheio de gente.
173,No lado de cá do rio há uma boa sombra.
174,A maioria dos visitantes gosta deste momento.
175,Minha filha é especialista em música sacra.
176,A casa só tem um quarto.
177,A duração do simpósio é de cinco dias.
178,Ao contrário de nossa expectativa, tudo foi tranquilo
179,A intenção é ter o apoio do governante.
180,A fila aumentou ao longo do dia.
181,À noite, a temperatura deve ir a zero.
182,A proposta foi inspecionada pela gerência.
183,Os quadros azuis mostram o codidiano.
184,Já era tarde, quando ele me abordou.
185,O canário canta ao amanhecer.
186,A lojinha não fica na esquina.
187,Meu bom time se consagrou como o melhor.
188,O instituto deve servir a sua meta.
189,Ele não entende, nem quando se fala pausadamente.
190,Seu limite do cheque azul foi aumentado
191,O termômetro indicava o calor.
192,O discurso de abertura tem que ser longo.
193,Eu precisei de tempo na conferência.
194,Zeca marcou a temporada de jogos.
195,Nada como um almoço ao ar livre.
196,Nossa filha é a primeira da classe.
197,Gostaria de chamar meu pai.
198,Não tive uma prova cansativa.
199,Ainda tenho cinco telefonemas pra dar.
200,Os hotéis do sudoeste são fantásticos.