id,age,height,weight,gender,race
1,23,173,76,Masculino,Branca
2,35,171,73.95,Masculino,Branca,
3,24,185,89.85,Masculino,Branca,
4,33,179,78.45,Masculino,Branca,
5,30,171,92.65,Masculino,Pardo,,
6,37,182,85.5,Masculino,Branca,,
7,29,180,89.2,Masculino,Pardo,,,
8,25,174,88.7,Masculino,Branca,,
9,29,171,62.25,Masculino,Branca,
10,28,177,87.15,Masculino,Branca
11,27,165,65.65,Feminino,Branca,
12,44,151,55.4,Feminino,Branca
13,42,179,103.17,Masculino,Branca
14,23,164,53.85,Feminino,Branca
15,23,172,74.95,Feminino,Branca
16,27,175,74.25,Masculino,Branca
17,23,163,56.30,Feminino,Branca
18,26,178,104.65,Masculino,Branca
19,28,153,57.9,Feminino,Pardo
20,37,192,90.95,Masculino,Branca
21,25,176,59.95,Masculino,Branca
22,24,158,46.45,Feminino,Branca
23,24,169,67.8,Masculino,Branca
24,26,147,55,Feminino,Branca
25,27,178,80.1,Masculino,Pardo
26,24,176,90.65,Masculino,Branca
27,23,167,79.30,Feminino,Branca
28,26,163,76,Feminino,Branca
29,28,185,113.25,Masculino,Branca